N,T,p,d,runtime_h_us,runtime_g_us,mean_error_h,max_error_h,mean_error_g,max_error_g,mean_error_h_g, converged_h, converged_g
80000,5,5,2,5721,1487445,0.00725454,0.0153131,0.0119689,0.0229804,0.00471436,1,1
85000,5,5,2,6338,1592490,0.00650415,0.0173052,0.0112214,0.0217838,0.00471726,1,1
90000,5,5,2,6568,1419151,0.00842846,0.0155583,0.0131384,0.0201984,0.00470999,1,1
95000,5,5,2,6248,1575727,0.00831132,0.0121531,0.0129819,0.0195903,0.0046861,1,1
100000,5,5,2,6924,1894278,0.00537093,0.00912465,0.0100282,0.0136302,0.00467003,1,1
105000,5,5,2,6653,1835159,0.00478279,0.00895361,0.0094501,0.0141161,0.00468286,1,1
110000,5,5,2,8307,1894578,0.00477581,0.00982241,0.00942375,0.0142855,0.00466454,1,1
115000,5,5,2,7421,2054811,0.00621469,0.0112776,0.0108741,0.0157423,0.00468005,1,1
120000,5,5,2,8669,2043215,0.00698012,0.0124408,0.0106552,0.0168833,0.00467408,1,1
125000,5,5,2,8431,1896010,0.00611432,0.0098149,0.00954479,0.0162793,0.00465097,1,1
130000,5,5,2,8675,2274664,0.00605109,0.00926193,0.00962835,0.0145072,0.0046555,1,1
135000,5,5,2,9809,2042556,0.00577404,0.00798618,0.0092848,0.0155567,0.00465929,1,1
140000,5,5,2,9399,2375847,0.00571117,0.00913846,0.00888518,0.0166953,0.00464818,1,1
145000,5,5,2,9598,2080739,0.00642739,0.0100732,0.00971576,0.0176695,0.00466301,1,1
150000,5,5,2,9858,2630104,0.00562978,0.00931398,0.0093335,0.0168863,0.00465242,1,1
5000,6,5,2,440,96964,0.0484567,0.076137,0.050007,0.0836515,0.00483435,1,1
10000,6,5,2,664,171942,0.0467164,0.0805404,0.0499565,0.0886974,0.00488107,1,1
15000,6,5,2,914,244561,0.0376773,0.0651621,0.0408878,0.0731754,0.00489752,1,1
20000,6,5,2,1167,303629,0.0370874,0.061595,0.0403699,0.0692607,0.00496222,1,1
25000,6,5,2,1387,388069,0.0355543,0.0554283,0.0387969,0.0630027,0.00495913,1,1
30000,6,5,2,1720,480739,0.0272195,0.0446325,0.0305186,0.0526482,0.00491223,1,1
35000,6,5,2,2022,563129,0.0204415,0.0386523,0.0237408,0.0466141,0.00482558,1,1
40000,6,5,2,2495,529466,0.0181042,0.0302269,0.0229035,0.0378465,0.00479929,1,1
45000,6,5,2,2497,681825,0.0176748,0.0289576,0.021304,0.036897,0.00481843,1,1
50000,6,5,2,2822,754610,0.0161622,0.0304205,0.0193686,0.0347392,0.00475865,1,1
55000,6,5,2,3329,718584,0.0118778,0.0243109,0.01614,0.028728,0.00474941,1,1
60000,6,5,2,3700,781481,0.00960121,0.0228227,0.0140666,0.0287782,0.00471475,1,1
65000,6,5,2,4026,855866,0.00890926,0.0207992,0.0124463,0.0284067,0.00468418,1,1
70000,6,5,2,3751,1058084,0.00896007,0.022271,0.0134354,0.0299033,0.00470888,1,1
75000,6,5,2,4082,1172506,0.00856073,0.0207086,0.01328,0.0283941,0.00471927,1,1
80000,6,5,2,4438,1206943,0.00725454,0.0153131,0.0119689,0.0229804,0.00471436,1,1
85000,6,5,2,4761,1362545,0.00650415,0.0173052,0.0112214,0.0217838,0.00471726,1,1
90000,6,5,2,4909,1350036,0.00842846,0.0155583,0.0131384,0.0201984,0.00470999,1,1
95000,6,5,2,4817,1431868,0.00831132,0.0121531,0.0129819,0.0195903,0.0046861,1,1
100000,6,5,2,5520,1612840,0.00537093,0.00912465,0.0100282,0.0136302,0.00467003,1,1
105000,6,5,2,5459,1503307,0.00478279,0.00895361,0.0094501,0.0141161,0.00468286,1,1
